frame,detected,pose_success,marker_id,status,real_distance_m,real_cctag_diameter_m,center_x_px,center_y_px,ellipse_a_px,ellipse_b_px,ellipse_angle_rad,apparent_diameter_px,estimated_x_m,estimated_y_m,estimated_z_m,estimated_distance_m,z_error_m,distance_error_m,reprojection_error_px,candidate_count,total_time_ms
78,1,1,0,1,1.0,0.096,281.308,239.137,45.4633,45.6031,2.11126,91.0665,-0.03985346004448189,0.022518568605015877,0.9864046796343875,0.9874662405440272,0.013595320365612507,0.012533759455972793,,1,200.0
79,1,1,0,1,1.0,0.096,281.191,239.136,45.4613,45.5618,2.06871,91.0231,-0.03999585950314604,0.022528256309401386,0.9868749994004264,0.9879420304609624,0.013125000599573555,0.012057969539037594,,1,110.0
80,1,1,0,1,1.0,0.096,281.584,239.352,45.4899,45.5338,2.13352,91.0238,-0.03958106692030886,0.02275470746371418,0.9868674100391871,0.9879229335164572,0.013132589960812902,0.012077066483542787,,1,120.0
81,1,1,0,1,1.0,0.096,281.275,239.215,45.4828,45.563,1.74152,91.0459,-0.039897272904554866,0.02260548037062869,0.9866278630660464,0.987692938268914,0.01337213693395356,0.012307061731085978,,1,150.0
82,1,1,0,1,1.0,0.096,281.409,239.162,45.4589,45.5997,2.17121,91.0586,-0.03975043674228256,0.022546741907725237,0.9864902574597563,0.9875482169772127,0.01350974254024373,0.012451783022787266,,1,170.0
83,1,1,0,1,1.0,0.096,281.332,239.19,45.46,45.651,2.30537,91.1109,-0.039808750864504805,0.02256314865143591,0.9859239866791455,0.986985278427069,0.014076013320854508,0.013014721572931043,,1,160.0
84,1,1,0,1,1.0,0.096,281.288,239.187,45.4745,45.53,2.11617,91.0046,-0.03990166562064785,0.02258635582694611,0.987075617693226,0.988139950327537,0.012924382306773952,0.011860049672463013,,1,160.0
85,1,1,0,1,1.0,0.096,281.371,239.211,45.4636,45.5704,1.91828,91.034,-0.03980125139113751,0.02260423908986319,0.9867568354452727,0.9878178696172191,0.013243164554727294,0.012182130382780931,,1,160.0
86,1,1,0,1,1.0,0.096,281.303,239.099,45.4423,45.6215,2.2111,91.0638,-0.039859912711097165,0.02247938467489068,0.9864339260817686,0.9874948232278437,0.013566073918231392,0.012505176772156346,,1,160.0
87,1,1,0,1,1.0,0.096,281.319,239.107,45.4571,45.6315,1.95944,91.0886,-0.03983219765306316,0.022481651909202097,0.9861653572228024,0.9872254759824711,0.013834642777197592,0.012774524017528877,,1,190.0
88,1,1,0,1,1.0,0.096,281.292,239.089,45.4415,45.543,1.92825,90.9845,-0.039906260067822684,0.022488480787752493,0.987293679230253,0.9883557307006174,0.012706320769746982,0.01164426929938256,,1,200.0
89,1,1,0,1,1.0,0.096,281.313,239.183,45.4599,45.5293,1.93466,90.9893,-0.03988199842334001,0.022585955420244806,0.9872415960769558,0.9883049469698408,0.01275840392304417,0.011695053030159164,,1,200.0
90,1,1,0,1,1.0,0.096,281.199,239.119,45.418,45.5407,1.48808,90.9586,-0.040015777718003666,0.022526382442181376,0.9875748060977736,0.9886418451650543,0.012425193902226406,0.011358154834945733,,1,200.0
91,1,1,0,1,1.0,0.096,281.28,239.153,45.4745,45.5236,2.28376,90.9981,-0.039912955535783855,0.02255228673727417,0.9871461245666114,0.988210059098551,0.012853875433388562,0.011789940901449025,,1,130.0
92,1,1,0,1,1.0,0.096,281.333,239.12,45.4019,45.6129,1.65725,91.0149,-0.03984968526187259,0.022513497361396913,0.9869639120399513,0.9880246042726449,0.013036087960048737,0.011975395727355065,,1,10.0
93,1,1,0,1,1.0,0.096,281.282,239.187,45.4276,45.5671,1.95912,90.9946,-0.03991238072523876,0.02258883799136322,0.9871840939783784,0.9882487992104357,0.012815906021621637,0.011751200789564265,,1,240.0
94,1,1,0,1,1.0,0.096,281.463,239.207,45.4585,45.5987,2.19262,91.0572,-0.03969411665569343,0.0225942846621353,0.9865054246992545,0.9875621892101407,0.013494575300745493,0.012437810789859283,,1,250.0
95,1,1,0,1,1.0,0.096,281.405,239.252,45.5378,45.5912,3.85094,91.129,-0.039723942094622045,0.02262364167274069,0.9857281629110926,0.9867876326211993,0.014271837088907446,0.013212367378800716,,1,190.0
96,1,1,0,1,1.0,0.096,281.423,239.106,45.4676,45.5984,1.91103,91.066,-0.03973244810511947,0.022486182517121003,0.9864100955123203,0.9874660360565543,0.013589904487679716,0.012533963943445747,,1,250.0
97,1,1,0,1,1.0,0.096,281.326,239.244,45.4667,45.5747,1.67583,91.0415,-0.039845423451292085,0.022636993393737478,0.9866755464038374,0.9877391989342288,0.013324453596162633,0.01226080106577121,,1,200.0
98,1,1,0,1,1.0,0.096,281.42,239.152,45.4744,45.6078,2.30679,91.0822,-0.039728543218552126,0.022530414754526606,0.9862346513141421,0.9872916307697573,0.013765348685857881,0.012708369230242655,,1,210.0
99,1,1,0,1,1.0,0.096,281.349,239.157,45.4849,45.5577,3.18855,91.0426,-0.0398206896457352,0.022545459463116913,0.986663625137298,0.9877241994784473,0.013336374862702005,0.012275800521552749,,1,240.0
100,1,1,0,1,1.0,0.096,281.344,239.066,45.4802,45.6016,2.2193,91.0818,-0.03980882151144148,0.02244034107151995,0.9862389825181864,0.987297139576553,0.013761017481813576,0.012702860423447038,,1,300.0
101,1,1,0,1,1.0,0.096,281.432,239.199,45.3469,45.5591,1.97964,90.9061,-0.039792831494705076,0.022623435494403054,0.988145149312587,0.9892047944596358,0.011854850687412988,0.010795205540364172,,1,210.0
102,1,1,0,1,1.0,0.096,281.434,239.214,45.4468,45.609,2.16244,91.0558,-0.03972530161879646,0.022601973781832874,0.986520592405151,0.9875787705529868,0.013479407594849002,0.012421229447013182,,1,170.0
103,1,1,0,1,1.0,0.096,281.322,239.135,45.4744,45.5824,2.08134,91.0568,-0.03984294549271235,0.02251886982503085,0.9865097582819181,0.9875707888496806,0.013490241718081886,0.012429211150319364,,1,250.0
104,1,1,0,1,1.0,0.096,281.486,239.262,45.3512,45.5882,1.96632,90.9394,-0.039721255244050555,0.02268131142188347,0.9877833123808267,0.9888417933238954,0.012216687619173272,0.011158206676104565,,1,200.0
